address,business_status,category,city,country,country_code,google_id,latitude,logo,longitude,name,owner_title,phone,photo,place_id,postal_code,rating,reviews,state,street,subtypes,type,verified,website,working_hours
"C. Prisciliano Sánchez 605-local 2, Plaza, Albatros, 48315 Puerto Vallarta, Jal.",OPERATIONAL,Centro de estética,Puerto Vallarta,Mexico,MX,0x842145633319c225:0x6afaad29e2aeb4d0,20.6563846,https://lh6.googleusercontent.com/-Ehqm8cwWJh8/AAAAAAAAAAI/AAAAAAAAAAA/eS0Nsg-AYDI/s44-p-k-no-ns-nd/photo.jpg,-105.2250401,Studio R - hair salon,Studio R - hair salon,+52 322 231 9330,https://lh3.googleusercontent.com/gps-cs-s/AHVAweo9RgfC5kPQSkEd0FdPFWgJWgrxzWVXEJUikV3jOsrZmWz7MM0232w1I8-FJ918zAfBvcyAO4jXXAG0UN4yW89NiHL8N82foq7sDpC4gbuD2a4IP3BPF_3JQB-iRzYIOwz9BH4Wg1caIlc=w800-h500-k-no,ChIJJcIZM2NFIYQR0LSu4imt-mo,48315,4.8,131.0,Jalisco,C. Prisciliano Sánchez 605-local 2,Centro de estética,Centro de estética,True,https://studior.site.agendapro.com/mx,"{""domingo"": [""Cerrado""], ""jueves"": [""10a.m.-6p.m.""], ""lunes"": [""10a.m.-6p.m.""], ""martes"": [""10a.m.-6p.m.""], ""miércoles"": [""10a.m.-6p.m.""], ""sábado"": [""10a.m.-6p.m.""], ""viernes"": [""10a.m.-6p.m.""]}"
"Plaza Caracol, Av Los Tules 152-Int. F31, Versalles, 48310 Puerto Vallarta, Jal.",OPERATIONAL,Centro de estética,Puerto Vallarta,Mexico,MX,0x84214570b6dac64f:0xc12d7dc169ade56,20.640664899999997,,-105.232332,Style Beauty Salón,Style Beauty Salón,+52 322 224 5737,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqiuSZ7B-tZ7Y9TvzrLjXsBOCj52g2T_u5OWHE4F7vqCZCs9Hyf4mnEulyUnagGfX1cEulUrw9LjphjQK2EpvuG1YcwGS8mtuEkgtuN0hFfxCnKeAx5VWEaM90K3ZcQ4z_GTFo=w800-h500-k-no,ChIJT8batnBFIYQRVt6aFtzXEgw,48310,4.8,32.0,Jalisco,"Plaza Caracol, Av Los Tules 152-Int. F31",Centro de estética,Centro de estética,False,,"{""domingo"": [""Cerrado""], ""jueves"": [""9:30a.m.-8p.m.""], ""lunes"": [""9:30a.m.-8p.m.""], ""martes"": [""9:30a.m.-8p.m.""], ""miércoles"": [""9:30a.m.-8p.m.""], ""sábado"": [""9:30a.m.-8p.m.""], ""viernes"": [""9:30a.m.-8p.m.""]}"
"Boulevard Francisco Medina Ascencio 2053, Plaza Pelícanos Local 5, Las Glorias, 48333 Puerto Vallarta, Jal.",OPERATIONAL,Centro de estética,Puerto Vallarta,Mexico,MX,0x842145706a32b317:0x8cb6e5371f46001b,20.6371359,https://lh3.googleusercontent.com/-p3uZW77Dc-I/AAAAAAAAAAI/AAAAAAAAAAA/Hq7vvqSvn7g/s44-p-k-no-ns-nd/photo.jpg,-105.2324474,Joel Salón,Joel Salón,+52 322 222 8722,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerq6Q0BXr5GJpUVLWR-iGQhlph5dP5Oiv6KXZyWNwARFc9r_YB1DsWqdyXhjv6d_KwYBJKvHyhgLpCffnSXlRb7EZ7YH70rl9HMb3T-GT-Xvpknrx9bv9-9gkHnc0M4Omg7Bm5KMQ=w800-h500-k-no,ChIJF7MyanBFIYQRGwBGHzfltow,48333,4.5,264.0,Jal.,"Boulevard Francisco Medina Ascencio 2053, Plaza Pelícanos Local 5","Centro de estética, Barbería, Salón de manicura y pedicura, Estilista, Peluquería",Centro de estética,True,,"{""domingo"": [""Cerrado""], ""jueves"": [""10a.m.-7p.m.""], ""lunes"": [""10a.m.-7p.m.""], ""martes"": [""10a.m.-7p.m.""], ""miércoles"": [""10a.m.-7p.m.""], ""sábado"": [""10a.m.-7p.m.""], ""viernes"": [""10a.m.-7p.m.""]}"
"De Los Tules 429, Jardines de Las Gaviotas, 48328 Puerto Vallarta, Jal.",OPERATIONAL,Centro de estética,Puerto Vallarta,Mexico,MX,0x84214fd067a219b9:0x3db95402704507ed,20.6381581,https://lh4.googleusercontent.com/-liBx3-bD-8A/AAAAAAAAAAI/AAAAAAAAAAA/sLCM_GLrbCw/s44-p-k-no-ns-nd/photo.jpg,-105.21806389999999,Glam House Salón & Spa,Glam House Salón & Spa,+52 322 403 4946,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoNHpKhtBUKbiuR4QbFTmutD8Vhp1dslUherTsiGwT5zdKhwpuhDl4nJ2yFLOyUiB2kqWMm3jULjv9rmkwe5Us03LftsyvVOV93z3L3-lMRTqS5YwkeI_BiRfLjz78mkk8r0tX36EliLvBN=w800-h500-k-no,ChIJuRmiZ9BPIYQR7QdFcAJUuT0,48328,4.8,49.0,Jalisco,De Los Tules 429,Centro de estética,Centro de estética,True,,"{""domingo"": [""Cerrado""], ""jueves"": [""10a.m.-8p.m.""], ""lunes"": [""10a.m.-8p.m.""], ""martes"": [""10a.m.-8p.m.""], ""miércoles"": [""10a.m.-8p.m.""], ""sábado"": [""10a.m.-8p.m.""], ""viernes"": [""10a.m.-8p.m.""]}"
"Esq. Ingreso, Av. de las Garzas 240, Zona Hotelera, Zona Hotelera Nte., 48333 Puerto Vallarta, Jal.",OPERATIONAL,Spa,Puerto Vallarta,Mexico,MX,0x8421459f701be5a9:0xb3891fa6234ce5d3,20.6498272,https://lh3.googleusercontent.com/-rrpsDF77zB0/AAAAAAAAAAI/AAAAAAAAAAA/nmNNQ5GpeJ4/s44-p-k-no-ns-nd/photo.jpg,-105.2421705,Salon Spa Sol y Luna,Salon Spa Sol y Luna,+52 322 221 2663,https://lh3.googleusercontent.com/gps-cs-s/AHVAweprcs89pfnivQuhNdIEBeQBCqePNZF1DY8XmePE8WcMEPgoTI3goOWEs1x7UHLI1sfG331r0SAlJP0RLY-doyP9LleFJV49NQb189aCIl2e6TFQZErXsBadItjA7tJu-ZqeXF3zVA=w800-h500-k-no,ChIJqeUbcJ9FIYQR0-VMI6YfibM,48333,4.8,324.0,Jalisco,"Esq. Ingreso, Av. de las Garzas 240","Centro de estética, Spa",Centro de estética,True,https://www.spasolyluna.com/servicios/,"{""domingo"": [""9a.m.-8p.m.""], ""jueves"": [""9a.m.-8p.m.""], ""lunes"": [""9a.m.-8p.m.""], ""martes"": [""9a.m.-8p.m.""], ""miércoles"": [""9a.m.-8p.m.""], ""sábado"": [""9a.m.-8p.m.""], ""viernes"": [""9a.m.-8p.m.""]}"
"Av Paseo de la Marina 161 Sur-Loc. 1, Marina Vallarta, 48335 Puerto Vallarta, Jal.",OPERATIONAL,Centro de estética,Puerto Vallarta,Mexico,MX,0x84214576973a3c15:0x6ac26d8dd6f2f6f4,20.66596,https://lh6.googleusercontent.com/-hkMKJGavK0E/AAAAAAAAAAI/AAAAAAAAAAA/r_cMHZ7Yh3Q/s44-p-k-no-ns-nd/photo.jpg,-105.252769,Estética Elba,Estética Elba,+52 322 209 0067,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqSO9xfYDse2swL5GuFAOsfuMtL5KhoK8cyN71AN-1SMOltgMw6VFQQ5GgCYgfu090knIMbn89cq0hyVJQFq-sq_qj4IGi3RtRLmqnWDPaWnMByqK6t3XyGNVkc3VRKj5ZoKSe77w=w800-h500-k-no,ChIJFTw6l3ZFIYQR9Pby1o1twmo,48335,4.8,9.0,Jalisco,Av Paseo de la Marina 161 Sur-Loc. 1,Centro de estética,Centro de estética,True,http://esteticaelba.com.mx/,"{""domingo"": [""Cerrado""], ""jueves"": [""10a.m.-7p.m.""], ""lunes"": [""10a.m.-7p.m.""], ""martes"": [""10a.m.-7p.m.""], ""miércoles"": [""10a.m.-7p.m.""], ""sábado"": [""10a.m.-7p.m.""], ""viernes"": [""10a.m.-7p.m.""]}"
"Av. Francisco Medina Ascencio 1863, Zona Hotelera, Las Glorias, 48333 Puerto Vallarta, Jal.",OPERATIONAL,Centro de estética,Puerto Vallarta,Mexico,MX,0x8421454f11cc3f91:0x100ff2d30faef936,20.631577399999998,https://lh5.googleusercontent.com/-_OVUPt-olMM/AAAAAAAAAAI/AAAAAAAAAAA/7sGovLvOxUU/s44-p-k-no-ns-nd/photo.jpg,-105.22940009999999,Salón Malecón,Salón Malecón,+52 322 220 4988,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqhJWyOWckP9gKeSvXNt9M16kt8VvIOMRYL8ImTRSmZaK0SmkwAzMoV9bf7Hi6lUVbwdM9qcIiSeShAT2-noq41hL1unks4q7CIYprTgopA_lQLZuKE1i_hA43MlXgnOgyUhre3vw=w800-h500-k-no,ChIJkT_MEU9FIYQRNvmuD9PyDxA,48333,4.8,118.0,Jalisco,Av. Francisco Medina Ascencio 1863,"Centro de estética, Salón de manicura y pedicura",Centro de estética,True,https://www.facebook.com/Salonmalecon,"{""domingo"": [""Cerrado""], ""jueves"": [""9a.m.-3p.m.""], ""lunes"": [""Cerrado""], ""martes"": [""9a.m.-3p.m.""], ""miércoles"": [""9a.m.-3p.m.""], ""sábado"": [""9a.m.-3p.m.""], ""viernes"": [""9a.m.-3p.m.""]}"
"Basilio Badillo 423, Zona Romántica, Emiliano Zapata, 48380 Puerto Vallarta, Jal.",OPERATIONAL,Centro de estética,Puerto Vallarta,Mexico,MX,0x842145f922500b57:0xbea83e3ab3d54c80,20.6031297,https://lh6.googleusercontent.com/-Pz1tQKoknq8/AAAAAAAAAAI/AAAAAAAAAAA/yOe69ZEyCYQ/s44-p-k-no-ns-nd/photo.jpg,-105.23221819999999,COCO HAIR SALON,COCO HAIR SALON,+52 322 170 6434,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepOBv3hNIztpXJfm6vkSQOPOWivSngUN_ZSKpMpbvzzPzqwvcuW3WyyocKzKeHQ7YcFqkK5gPz8uffy31Gauxw5p408Zq1RHm9F6iwpg00fr75mizXd5L05-4ktvB3yVScXU852ug=w800-h500-k-no,ChIJVwtQIvlFIYQRgEzVszo-qL4,48380,5.0,192.0,Jalisco,Basilio Badillo 423,Centro de estética,Centro de estética,True,,"{""domingo"": [""Cerrado""], ""jueves"": [""10a.m.-6p.m.""], ""lunes"": [""10a.m.-6p.m.""], ""martes"": [""10a.m.-6p.m.""], ""miércoles"": [""10a.m.-6p.m.""], ""sábado"": [""10a.m.-4p.m.""], ""viernes"": [""10a.m.-6p.m.""]}"
"Rafael Osuna 157-Int. A, Versalles, 48310 Puerto Vallarta, Jal.",OPERATIONAL,Centro de estética,Puerto Vallarta,Mexico,MX,0x842145649ac5bbad:0x83703a5ce30f6f7b,20.6338008,https://lh3.googleusercontent.com/-tkc5OKTouLo/AAAAAAAAAAI/AAAAAAAAAAA/Reu8Et1rJVU/s44-p-k-no-ns-nd/photo.jpg,-105.2259455,New Look - Nails & Beauty Salon,New Look - Nails & Beauty Salon,+52 322 225 0795,https://lh3.googleusercontent.com/gps-cs-s/AHVAwep6EoMr2bThv3pQZLLvuH0JLgSqdMIq7_O9-KhnFcIQt0dgDVxqkFz9Htd6fhlURXmzdJDpQ6ZARAFXSQqCen70El8No-jhT-KHUMPmE3nqW2SwPziaPhYdONsB_CgTaQvS8ex8=w800-h500-k-no,ChIJrbvFmmRFIYQRe28P41w6cIM,48310,4.8,97.0,Jalisco,Rafael Osuna 157-Int. A,Centro de estética,Centro de estética,True,https://www.facebook.com/VallartaNewlook/,"{""domingo"": [""10a.m.-2p.m.""], ""jueves"": [""10a.m.-7p.m.""], ""lunes"": [""10a.m.-7p.m.""], ""martes"": [""10a.m.-7p.m.""], ""miércoles"": [""10a.m.-7p.m.""], ""sábado"": [""Cerrado""], ""viernes"": [""10a.m.-7p.m.""]}"
"C. Juárez 793 A, Centro, 48300 Puerto Vallarta, Jal.",OPERATIONAL,Peluquería,Puerto Vallarta,Mexico,MX,0x8421454567f15bef:0xd6d0346860fe5391,20.612608299999998,https://lh5.googleusercontent.com/-PV2ENRTTZcs/AAAAAAAAAAI/AAAAAAAAAAA/g8oiwPwsyyc/s44-p-k-no-ns-nd/photo.jpg,-105.2324749,Estética Italiana,Estética Italiana,+52 322 111 1190,https://lh3.googleusercontent.com/gps-cs-s/AHVAwert7CPFV17cUgUSmvW75a6m-ma9NqMwF9mQDRAPdQoj3Dwzo47Gjb-RUhjQoSIIqhKfQS0LhswhlIpFRoM2uYGoRoaYu7sIYd-9lFPutyVsMrniDjVJm7-21JXh6UlDDxlCZCVO=w800-h500-k-no,ChIJ71vxZ0VFIYQRkVP-YGg00NY,48300,4.9,68.0,Jalisco,C. Juárez 793 A,"Centro de estética, Peluquería",Centro de estética,True,http://www.esteticaitaliana.com/,"{""domingo"": [""Cerrado""], ""jueves"": [""10a.m.-7p.m.""], ""lunes"": [""10a.m.-7p.m.""], ""martes"": [""10a.m.-7p.m.""], ""miércoles"": [""10a.m.-7p.m.""], ""sábado"": [""10a.m.-7p.m.""], ""viernes"": [""10a.m.-7p.m.""]}"
